assembly	lib	accession
ERAS10	ERAS10_Dag0	ERR1995211
ERAS10	ERAS10_Dag180	ERR1995212
ERAS10	ERAS10_Dag42	ERR1995213
ERAS10	ERAS10_Dag8	ERR1995214
ERAS11	ERAS11_Dag0	ERR1995215
ERAS11	ERAS11_Dag180	ERR1995216
ERAS11	ERAS11_Dag42	ERR1995217
ERAS11	ERAS11_Dag4opt	ERR1995218
ERAS11	ERAS11_Dag8	ERR1995219
ERAS12	ERAS12_Dag0	ERR1995220
ERAS12	ERAS12_Dag180	ERR1995221
ERAS12	ERAS12_Dag42	ERR1995222
ERAS12	ERAS12_Dag4opt	ERR1995223
ERAS12	ERAS12_Dag8	ERR1995224
ERAS1	ERAS1_Dag0	ERR1995225
ERAS1	ERAS1_Dag180	ERR1995226
ERAS1	ERAS1_Dag42	ERR1995227
ERAS1	ERAS1_Dag8	ERR1995228
ERAS2	ERAS2_Dag0	ERR1995229
ERAS2	ERAS2_Dag180	ERR1995230
ERAS2	ERAS2_Dag42	ERR1995231
ERAS2	ERAS2_Dag4opt	ERR1995232
ERAS2	ERAS2_Dag8	ERR1995233
ERAS3	ERAS3_Dag0	ERR1995234
ERAS3	ERAS3_Dag180	ERR1995235
ERAS3	ERAS3_Dag42	ERR1995236
ERAS3	ERAS3_Dag4	ERR1995237
ERAS3	ERAS3_Dag8	ERR1995238
ERAS4	ERAS4_Dag0	ERR1995239
ERAS4	ERAS4_Dag180	ERR1995240
ERAS4	ERAS4_Dag42	ERR1995241
ERAS4	ERAS4_Dag4opt	ERR1995242
ERAS4	ERAS4_Dag8opt	ERR1995243
ERAS5	ERAS5_Dag0	ERR1995244
ERAS5	ERAS5_Dag180	ERR1995245
ERAS5	ERAS5_Dag42	ERR1995246
ERAS5	ERAS5_Dag4	ERR1995247
ERAS5	ERAS5_Dag8	ERR1995248
ERAS6	ERAS6_Dag0	ERR1995249
ERAS6	ERAS6_Dag180	ERR1995250
ERAS6	ERAS6_Dag42	ERR1995251
ERAS6	ERAS6_Dag4opt	ERR1995252
ERAS6	ERAS6_Dag8opt	ERR1995253
ERAS7	ERAS7_Dag0	ERR1995254
ERAS7	ERAS7_Dag180	ERR1995255
ERAS7	ERAS7_Dag42	ERR1995256
ERAS7	ERAS7_Dag4opt	ERR1995257
ERAS7	ERAS7_Dag8	ERR1995258
ERAS8	ERAS8_Dag0	ERR1995259
ERAS8	ERAS8_Dag180	ERR1995260
ERAS8	ERAS8_Dag42	ERR1995261
ERAS8	ERAS8_Dag8	ERR1995262
ERAS9	ERAS9_Dag0	ERR1995263
ERAS9	ERAS9_Dag180	ERR1995264
ERAS9	ERAS9_Dag42	ERR1995265
ERAS9	ERAS9_Dag4	ERR1995266
ERAS9	ERAS9_Dag8	ERR1995267
